"","x"
"183",0.002189
"184",0.002221
"185",0.002226
"186",0.002233
"187",0.002237
"188",0.002254
"189",0.002259
"190",0.00227
"191",0.002272
"192",0.002273
"193",0.002278
"194",0.002293
"195",0.002293
"196",0.002293
"197",0.002301
"198",0.002302
"199",0.002307
"200",0.002314
"201",0.002318
"202",0.002321
"203",0.002329
"204",0.002339
"205",0.002346
"206",0.00235
"207",0.002364
"208",0.002365
"209",0.002366
"210",0.002385
"211",0.002395
"212",0.002397
"213",0.002412
"214",0.002417
"215",0.002433
"216",0.002437
"217",0.002454
"218",0.002457
"219",0.002458
"220",0.002473
"221",0.002482
"222",0.002483
"223",0.002492
"224",0.002496
"225",0.002498
"226",0.002515
"227",0.002515
"228",0.002518
"229",0.002522
"230",0.002527
"231",0.002527
"232",0.002535
"233",0.002554
"234",0.00256
"235",0.002561
"236",0.002584
"237",0.002584
"238",0.002589
"239",0.002591
"240",0.002594
"241",0.002597
"242",0.002606
"243",0.002611
"244",0.002623
"245",0.002629
"246",0.002632
"247",0.002639
"248",0.002641
"249",0.00265
"250",0.002655
"251",0.002658
"252",0.002669
"253",0.002674
"254",0.002677
"255",0.00268
"256",0.002682
"257",0.002695
"258",0.002705
"259",0.002707
"260",0.002709
"261",0.002724
"262",0.002727
"263",0.002738
"264",0.002747
"265",0.002749
"266",0.002751
"267",0.002756
"268",0.002761
"269",0.002766
"270",0.002774
"271",0.002776
"272",0.002776
"273",0.002776
"274",0.002778
"275",0.002779
"276",0.002791
"277",0.002792
"278",0.002802
"279",0.002804
"280",0.002806
"281",0.002811
"282",0.002813
"283",0.002817
"284",0.00283
"285",0.002832
"286",0.002839
"287",0.002844
"288",0.002844
"289",0.002848
"290",0.002852
"291",0.002852
"292",0.002857
"293",0.002873
"294",0.002896
"295",0.002899
"296",0.002915
"297",0.002916
"298",0.002918
"299",0.002923
"300",0.002935
"301",0.002936
"302",0.002937
"303",0.00294
"304",0.002944
"305",0.002946
"306",0.002954
"307",0.002955
"308",0.002961
"309",0.002968
"310",0.002971
"311",0.002976
"312",0.002976
"313",0.002979
"314",0.002996
"315",0.003002
"316",0.003008
"317",0.003016
"318",0.003017
"319",0.003019
"320",0.003021
"321",0.003026
"322",0.003028
"323",0.003034
"324",0.003049
"325",0.003054
"326",0.003073
"327",0.003074
"328",0.003074
"329",0.003079
"330",0.00309
"331",0.00309
"332",0.003094
"333",0.003104
"334",0.003132
"335",0.003144
"336",0.003149
"337",0.00315
"338",0.003151
"339",0.003161
"340",0.003162
"341",0.003166
"342",0.003169
"343",0.003173
"344",0.003196
"345",0.003225
"346",0.003228
"347",0.00323
"348",0.003238
"349",0.003251
"350",0.00326
"351",0.003262
"352",0.003269
"353",0.003271
"354",0.003274
"355",0.003299
"356",0.0033
"357",0.003301
"358",0.003303
"359",0.003313
"360",0.003319
"361",0.003319
"362",0.003322
"363",0.003326
"364",0.003327
"365",0.003328
"366",0.003329
"367",0.003334
"368",0.003341
"369",0.003346
"370",0.003348
"371",0.003353
"372",0.003375
"373",0.003387
"374",0.003393
"375",0.003399
"376",0.003404
"377",0.003413
"378",0.003414
"379",0.003414
"380",0.003415
"381",0.00342
"382",0.003436
"383",0.003438
"384",0.003444
"385",0.003445
"386",0.003452
"387",0.003453
"388",0.003455
"389",0.00346
"390",0.00346
"391",0.003461
"392",0.003471
"393",0.003476
"394",0.003481
"395",0.003486
"396",0.003486
"397",0.003488
"398",0.003511
"399",0.003518
"400",0.003521
"401",0.003522
"402",0.003523
"403",0.003548
"404",0.00355
"405",0.003553
"406",0.003559
"407",0.003564
"408",0.003565
"409",0.003566
"410",0.003572
"411",0.003573
"412",0.003576
"413",0.003579
"414",0.003579
"415",0.003583
"416",0.003594
"417",0.0036
"418",0.0036
"419",0.003604
"420",0.003605
"421",0.003606
"422",0.003608
"423",0.003611
"424",0.003613
"425",0.003614
"426",0.003619
"427",0.00362
"428",0.003625
"429",0.003634
"430",0.003635
"431",0.003637
"432",0.003639
"433",0.003654
"434",0.003655
"435",0.003662
"436",0.003669
"437",0.00367
"438",0.003671
"439",0.003681
"440",0.003685
"441",0.003687
"442",0.003691
"443",0.003698
"444",0.003701
"445",0.003702
"446",0.003705
"447",0.003706
"448",0.00371
"449",0.003735
"450",0.003737
"451",0.003741
"452",0.003747
"453",0.003773
"454",0.003775
"455",0.003781
"456",0.003788
"457",0.003796
"458",0.003798
"459",0.003804
"460",0.003809
"461",0.00381
"462",0.00381
"463",0.003815
"464",0.003819
"465",0.003827
"466",0.00383
"467",0.003839
"468",0.003839
"469",0.003841
"470",0.003841
"471",0.003843
"472",0.003852
"473",0.003854
"474",0.003859
"475",0.003871
"476",0.003873
"477",0.003874
"478",0.003881
"479",0.003886
"480",0.003891
"481",0.003891
"482",0.003892
"483",0.003902
"484",0.003906
"485",0.003911
"486",0.003911
"487",0.003922
"488",0.003931
"489",0.003932
"490",0.003933
"491",0.003933
"492",0.003936
"493",0.003939
"494",0.00394
"495",0.003943
"496",0.003952
"497",0.003953
"498",0.003953
"499",0.003953
"500",0.003961
"501",0.003963
"502",0.003963
"503",0.003967
"504",0.003968
"505",0.00397
"506",0.003971
"507",0.003975
"508",0.003986
"509",0.003995
"510",0.004008
"511",0.00402
"512",0.004034
"513",0.004038
"514",0.00404
"515",0.004041
"516",0.004042
"517",0.004044
"518",0.004053
"519",0.004056
"520",0.004061
"521",0.004063
"522",0.004067
"523",0.004077
"524",0.004082
"525",0.004084
"526",0.004085
"527",0.004088
"528",0.004108
"529",0.00411
"530",0.004113
"531",0.004113
"532",0.004115
"533",0.004116
"534",0.004117
"535",0.004123
"536",0.004129
"537",0.004129
"538",0.00413
"539",0.004134
"540",0.004137
"541",0.004155
"542",0.004167
"543",0.00417
"544",0.004175
"545",0.004181
"546",0.004187
"547",0.004196
"548",0.004198
"549",0.004199
"550",0.0042
"551",0.004206
"552",0.004207
"553",0.004208
"554",0.004218
"555",0.004224
"556",0.004226
"557",0.004229
"558",0.004231
"559",0.004233
"560",0.004235
"561",0.004235
"562",0.004239
"563",0.004248
"564",0.004251
"565",0.004255
"566",0.004256
"567",0.004261
"568",0.004264
"569",0.004268
"570",0.004279
"571",0.004288
"572",0.004291
"573",0.004294
"574",0.004296
"575",0.004297
"576",0.0043
"577",0.004303
"578",0.004305
"579",0.004308
"580",0.004309
"581",0.00431
"582",0.004313
"583",0.004322
"584",0.004327
"585",0.004327
"586",0.00433
"587",0.004331
"588",0.004332
"589",0.004335
"590",0.004341
"591",0.004342
"592",0.004348
"593",0.00435
"594",0.004351
"595",0.004351
"596",0.004358
"597",0.004359
"598",0.004367
"599",0.004373
"600",0.004374
"601",0.00438
"602",0.004381
"603",0.004384
"604",0.004388
"605",0.004393
"606",0.004396
"607",0.004399
"608",0.004406
"609",0.004406
"610",0.004413
"611",0.004415
"612",0.004425
"613",0.004432
"614",0.004433
"615",0.004436
"616",0.004444
"617",0.004446
"618",0.00445
"619",0.004455
"620",0.004461
"621",0.004488
"622",0.004489
"623",0.004489
"624",0.004497
"625",0.004499
"626",0.004504
"627",0.004507
"628",0.004515
"629",0.004517
"630",0.004519
"631",0.004524
"632",0.004526
"633",0.00453
"634",0.004533
"635",0.004543
"636",0.004545
"637",0.004549
"638",0.004557
"639",0.004567
"640",0.004568
"641",0.004572
"642",0.004586
"643",0.004592
"644",0.004592
"645",0.004593
"646",0.004596
"647",0.004597
"648",0.004601
"649",0.004603
"650",0.004604
"651",0.004604
"652",0.004607
"653",0.004609
"654",0.004612
"655",0.004612
"656",0.004617
"657",0.00462
"658",0.004624
"659",0.004629
"660",0.004636
"661",0.004651
"662",0.004656
"663",0.004656
"664",0.004678
"665",0.004682
"666",0.00469
"667",0.004694
"668",0.004697
"669",0.004699
"670",0.004702
"671",0.004702
"672",0.004707
"673",0.004707
"674",0.004709
"675",0.00471
"676",0.004712
"677",0.004713
"678",0.004715
"679",0.004716
"680",0.004723
"681",0.004723
"682",0.004728
"683",0.004728
"684",0.004731
"685",0.004734
"686",0.004743
"687",0.004748
"688",0.004757
"689",0.004758
"690",0.004763
"691",0.00477
"692",0.004778
"693",0.004779
"694",0.004796
"695",0.004802
"696",0.00481
"697",0.004815
"698",0.00482
"699",0.004822
"700",0.004828
"701",0.00485
"702",0.004853
"703",0.004859
"704",0.004864
"705",0.004866
"706",0.004877
"707",0.004877
"708",0.004883
"709",0.004887
"710",0.004892
"711",0.004893
"712",0.004904
"713",0.004911
"714",0.004912
"715",0.004915
"716",0.004917
"717",0.004918
"718",0.00493
"719",0.004933
"720",0.004933
"721",0.004939
"722",0.004939
"723",0.004941
"724",0.004946
"725",0.004947
"726",0.00495
"727",0.004955
"728",0.004958
"729",0.00496
"730",0.004965
"731",0.004967
"732",0.004971
"733",0.004978
"734",0.004993
"735",0.005007
"736",0.005008
"737",0.005012
"738",0.005019
"739",0.00502
"740",0.00502
"741",0.005043
"742",0.005052
"743",0.005053
"744",0.005053
"745",0.005059
"746",0.005062
"747",0.005063
"748",0.005063
"749",0.005074
"750",0.005086
"751",0.005086
"752",0.005087
"753",0.005088
"754",0.005096
"755",0.005106
"756",0.005106
"757",0.005115
"758",0.005118
"759",0.005129
"760",0.005133
"761",0.005136
"762",0.005138
"763",0.005148
"764",0.005152
"765",0.005153
"766",0.00516
"767",0.005161
"768",0.005164
"769",0.005166
"770",0.00517
"771",0.005181
"772",0.005182
"773",0.005186
"774",0.005191
"775",0.005193
"776",0.005195
"777",0.005197
"778",0.005198
"779",0.005203
"780",0.005214
"781",0.005218
"782",0.005219
"783",0.00522
"784",0.00522
"785",0.005222
"786",0.005228
"787",0.005228
"788",0.005236
"789",0.005241
"790",0.005252
"791",0.005258
"792",0.005265
"793",0.005271
"794",0.005289
"795",0.005294
"796",0.005294
"797",0.0053
"798",0.005301
"799",0.005302
"800",0.005308
"801",0.005315
"802",0.005318
"803",0.005318
"804",0.005325
"805",0.005328
"806",0.00533
"807",0.005331
"808",0.005336
"809",0.005341
"810",0.005343
"811",0.005349
"812",0.00535
"813",0.00535
"814",0.005356
"815",0.005356
"816",0.005358
"817",0.005362
"818",0.005364
"819",0.005369
"820",0.005371
"821",0.005372
"822",0.005376
"823",0.005377
"824",0.005384
"825",0.005386
"826",0.005389
"827",0.005395
"828",0.005401
"829",0.005404
"830",0.005409
"831",0.005415
"832",0.005417
"833",0.00542
"834",0.005423
"835",0.005427
"836",0.005427
"837",0.005428
"838",0.005435
"839",0.005441
"840",0.005444
"841",0.005446
"842",0.005449
"843",0.005449
"844",0.005454
"845",0.005454
"846",0.005456
"847",0.005458
"848",0.005462
"849",0.005467
"850",0.005469
"851",0.005479
"852",0.005479
"853",0.005482
"854",0.005483
"855",0.005484
"856",0.005491
"857",0.005496
"858",0.005498
"859",0.005526
"860",0.005526
"861",0.005528
"862",0.00553
"863",0.005532
"864",0.005542
"865",0.005551
"866",0.005551
"867",0.005556
"868",0.005558
"869",0.005565
"870",0.005567
"871",0.005572
"872",0.005573
"873",0.005588
"874",0.005591
"875",0.005594
"876",0.005599
"877",0.005603
"878",0.005608
"879",0.005608
"880",0.005609
"881",0.005612
"882",0.005614
"883",0.005619
"884",0.005622
"885",0.005625
"886",0.005626
"887",0.005634
"888",0.005642
"889",0.005643
"890",0.005657
"891",0.005657
"892",0.005659
"893",0.005669
"894",0.005677
"895",0.005691
"896",0.005691
"897",0.0057
"898",0.005712
"899",0.005722
"900",0.005724
"901",0.005724
"902",0.005733
"903",0.005734
"904",0.005738
"905",0.005743
"906",0.005745
"907",0.005745
"908",0.00576
"909",0.005772
"910",0.005776
"911",0.005785
"912",0.00579
"913",0.005791
"914",0.005798
"915",0.005805
"916",0.005809
"917",0.005812
"918",0.005817
"919",0.005819
"920",0.00582
"921",0.005821
"922",0.005821
"923",0.00583
"924",0.005856
"925",0.005866
"926",0.005873
"927",0.005878
"928",0.005881
"929",0.005889
"930",0.005897
"931",0.005904
"932",0.005907
"933",0.005909
"934",0.005919
"935",0.005926
"936",0.005927
"937",0.005929
"938",0.005931
"939",0.005932
"940",0.005941
"941",0.005953
"942",0.005984
"943",0.005987
"944",0.006002
"945",0.006004
"946",0.006007
"947",0.006014
"948",0.006017
"949",0.006025
"950",0.006035
"951",0.006039
"952",0.006043
"953",0.006061
"954",0.006069
"955",0.00607
"956",0.006073
"957",0.006074
"958",0.006085
"959",0.006086
"960",0.006087
"961",0.006093
"962",0.006093
"963",0.006094
"964",0.006114
"965",0.00612
"966",0.006136
"967",0.006138
"968",0.00615
"969",0.006156
"970",0.006162
"971",0.006177
"972",0.006178
"973",0.00618
"974",0.006184
"975",0.00619
"976",0.006191
"977",0.006191
"978",0.006193
"979",0.006203
"980",0.00622
"981",0.006243
"982",0.006247
"983",0.006256
"984",0.006259
"985",0.006263
"986",0.006266
"987",0.00627
"988",0.006275
"989",0.006287
"990",0.006287
"991",0.006292
"992",0.006294
"993",0.006297
"994",0.006298
"995",0.006299
"996",0.006301
"997",0.006311
"998",0.006318
"999",0.006323
"1000",0.006334
"1001",0.006336
"1002",0.00634
"1003",0.006341
"1004",0.00635
"1005",0.006351
"1006",0.006365
"1007",0.006369
"1008",0.006381
"1009",0.006393
"1010",0.006398
"1011",0.006408
"1012",0.006414
"1013",0.006414
"1014",0.006427
"1015",0.006436
"1016",0.006442
"1017",0.006443
"1018",0.006447
"1019",0.006451
"1020",0.006452
"1021",0.006456
"1022",0.006457
"1023",0.00646
"1024",0.006462
"1025",0.006462
"1026",0.006464
"1027",0.006466
"1028",0.00647
"1029",0.006474
"1030",0.006481
"1031",0.006482
"1032",0.006484
"1033",0.006494
"1034",0.006495
"1035",0.006498
"1036",0.006499
"1037",0.006499
"1038",0.006502
"1039",0.006503
"1040",0.006503
"1041",0.006504
"1042",0.006507
"1043",0.00651
"1044",0.00651
"1045",0.006511
"1046",0.006511
"1047",0.006512
"1048",0.006514
"1049",0.006516
"1050",0.006529
"1051",0.00653
"1052",0.006544
"1053",0.006545
"1054",0.006551
"1055",0.00656
"1056",0.006561
"1057",0.006562
"1058",0.006562
"1059",0.006573
"1060",0.006585
"1061",0.006595
"1062",0.006599
"1063",0.0066
"1064",0.006601
"1065",0.006609
"1066",0.006613
"1067",0.006618
"1068",0.006626
"1069",0.006633
"1070",0.006638
"1071",0.006651
"1072",0.006653
"1073",0.006665
"1074",0.006668
"1075",0.006673
"1076",0.006675
"1077",0.006685
"1078",0.006703
"1079",0.006713
"1080",0.006716
"1081",0.006727
"1082",0.006729
"1083",0.006735
"1084",0.006737
"1085",0.006738
"1086",0.006743
"1087",0.006745
"1088",0.006746
"1089",0.00675
"1090",0.006756
"1091",0.006759
"1092",0.006763
"1093",0.006766
"1094",0.006772
"1095",0.006785
"1096",0.006785
"1097",0.006805
"1098",0.006806
"1099",0.006806
"1100",0.006813
"1101",0.006813
"1102",0.006818
"1103",0.006823
"1104",0.006831
"1105",0.006834
"1106",0.006838
"1107",0.006838
"1108",0.006842
"1109",0.006842
"1110",0.006849
"1111",0.006851
"1112",0.006857
"1113",0.006869
"1114",0.006875
"1115",0.006884
"1116",0.006906
"1117",0.006914
"1118",0.006929
"1119",0.006931
"1120",0.006936
"1121",0.006937
"1122",0.00694
"1123",0.006946
"1124",0.006951
"1125",0.006952
"1126",0.006956
"1127",0.00696
"1128",0.006963
"1129",0.006974
"1130",0.006983
"1131",0.006986
"1132",0.006988
"1133",0.006994
"1134",0.006997
"1135",0.006998
"1136",0.007002
"1137",0.007003
"1138",0.007004
"1139",0.007012
"1140",0.007015
"1141",0.00702
"1142",0.007028
"1143",0.007028
"1144",0.007031
"1145",0.007032
"1146",0.007037
"1147",0.007043
"1148",0.007048
"1149",0.007053
"1150",0.007067
"1151",0.007073
"1152",0.007084
"1153",0.007096
"1154",0.007097
"1155",0.007104
"1156",0.007107
"1157",0.00711
"1158",0.007114
"1159",0.007119
"1160",0.007121
"1161",0.007123
"1162",0.007126
"1163",0.007129
"1164",0.007129
"1165",0.007144
"1166",0.007153
"1167",0.007156
"1168",0.00717
"1169",0.007171
"1170",0.007179
"1171",0.007204
"1172",0.007208
"1173",0.007221
"1174",0.007223
"1175",0.007231
"1176",0.007242
"1177",0.007243
"1178",0.007254
"1179",0.007255
"1180",0.007256
"1181",0.007279
"1182",0.007286
"1183",0.007289
"1184",0.00729
"1185",0.007291
"1186",0.007296
"1187",0.007306
"1188",0.007322
"1189",0.007325
"1190",0.007331
"1191",0.007345
"1192",0.00736
"1193",0.007363
"1194",0.007363
"1195",0.007364
"1196",0.007365
"1197",0.007367
"1198",0.007369
"1199",0.007379
"1200",0.007388
"1201",0.007395
"1202",0.007397
"1203",0.007399
"1204",0.007401
"1205",0.007406
"1206",0.007412
"1207",0.007416
"1208",0.007418
"1209",0.007419
"1210",0.00742
"1211",0.00742
"1212",0.00742
"1213",0.00742
"1214",0.007421
"1215",0.007428
"1216",0.007435
"1217",0.007436
"1218",0.007442
"1219",0.007448
"1220",0.007459
"1221",0.00747
"1222",0.007471
"1223",0.007472
"1224",0.007478
"1225",0.007485
"1226",0.007486
"1227",0.007487
"1228",0.00749
"1229",0.007491
"1230",0.007493
"1231",0.007501
"1232",0.007501
"1233",0.007502
"1234",0.007517
"1235",0.007517
"1236",0.007518
"1237",0.007521
"1238",0.007532
"1239",0.007533
"1240",0.007535
"1241",0.007538
"1242",0.007539
"1243",0.007541
"1244",0.007542
"1245",0.007542
"1246",0.007553
"1247",0.007554
"1248",0.00756
"1249",0.007569
"1250",0.00758
"1251",0.007585
"1252",0.007586
"1253",0.007586
"1254",0.00759
"1255",0.007597
"1256",0.007615
"1257",0.007623
"1258",0.007626
"1259",0.007627
"1260",0.007639
"1261",0.007647
"1262",0.007655
"1263",0.007656
"1264",0.007658
"1265",0.007662
"1266",0.007669
"1267",0.007677
"1268",0.007677
"1269",0.00768
"1270",0.007683
"1271",0.007689
"1272",0.007689
"1273",0.00769
"1274",0.007691
"1275",0.007704
"1276",0.007705
"1277",0.007706
"1278",0.007717
"1279",0.007719
"1280",0.007721
"1281",0.007727
"1282",0.007735
"1283",0.007738
"1284",0.00774
"1285",0.007741
"1286",0.007743
"1287",0.007748
"1288",0.00775
"1289",0.007763
"1290",0.007765
"1291",0.007767
"1292",0.007768
"1293",0.007774
"1294",0.007776
"1295",0.007783
"1296",0.007794
"1297",0.007795
"1298",0.007795
"1299",0.007802
"1300",0.007813
"1301",0.007814
"1302",0.007833
"1303",0.007835
"1304",0.007836
"1305",0.007843
"1306",0.007843
"1307",0.007852
"1308",0.007854
"1309",0.00787
"1310",0.007871
"1311",0.007893
"1312",0.007894
"1313",0.007897
"1314",0.0079
"1315",0.007903
"1316",0.007906
"1317",0.007908
"1318",0.007909
"1319",0.007918
"1320",0.007929
"1321",0.007931
"1322",0.007932
"1323",0.007937
"1324",0.007939
"1325",0.007941
"1326",0.007941
"1327",0.007947
"1328",0.007949
"1329",0.007955
"1330",0.007957
"1331",0.007964
"1332",0.007969
"1333",0.007973
"1334",0.007975
"1335",0.00798
"1336",0.007985
"1337",0.007996
"1338",0.007997
"1339",0.007999
"1340",0.008036
"1341",0.008037
"1342",0.008039
"1343",0.008042
"1344",0.008044
"1345",0.008072
"1346",0.008077
"1347",0.008077
"1348",0.00808
"1349",0.008084
"1350",0.008085
"1351",0.008091
"1352",0.008092
"1353",0.008099
"1354",0.008102
"1355",0.008109
"1356",0.008121
"1357",0.008138
"1358",0.008141
"1359",0.00815
"1360",0.008161
"1361",0.008163
"1362",0.008164
"1363",0.008168
"1364",0.00817
"1365",0.00817
"1366",0.008173
"1367",0.008178
"1368",0.008179
"1369",0.008185
"1370",0.008186
"1371",0.008195
"1372",0.008204
"1373",0.008209
"1374",0.00822
"1375",0.008221
"1376",0.008224
"1377",0.008226
"1378",0.00823
"1379",0.008238
"1380",0.008244
"1381",0.008246
"1382",0.008254
"1383",0.008275
"1384",0.008284
"1385",0.008298
"1386",0.008299
"1387",0.0083
"1388",0.008323
"1389",0.008324
"1390",0.008325
"1391",0.008331
"1392",0.008335
"1393",0.008337
"1394",0.008355
"1395",0.008374
"1396",0.008383
"1397",0.008384
"1398",0.008384
"1399",0.00839
"1400",0.008391
"1401",0.008396
"1402",0.008398
"1403",0.008404
"1404",0.00841
"1405",0.008411
"1406",0.008412
"1407",0.008422
"1408",0.008425
"1409",0.008428
"1410",0.008447
"1411",0.008448
"1412",0.00846
"1413",0.008461
"1414",0.008462
"1415",0.008462
"1416",0.008463
"1417",0.008472
"1418",0.008472
"1419",0.008475
"1420",0.008485
"1421",0.008495
"1422",0.008495
"1423",0.008506
"1424",0.008518
"1425",0.008519
"1426",0.008526
"1427",0.008529
"1428",0.008529
"1429",0.008533
"1430",0.008537
"1431",0.008541
"1432",0.008543
"1433",0.008551
"1434",0.008551
"1435",0.008556
"1436",0.008559
"1437",0.008559
"1438",0.008566
"1439",0.008567
"1440",0.008577
"1441",0.008578
"1442",0.008579
"1443",0.008594
"1444",0.008603
"1445",0.008606
"1446",0.008621
"1447",0.008622
"1448",0.008632
"1449",0.008635
"1450",0.008657
"1451",0.00866
"1452",0.008663
"1453",0.008687
"1454",0.008698
"1455",0.008701
"1456",0.008726
"1457",0.008734
"1458",0.008735
"1459",0.008737
"1460",0.008741
"1461",0.008742
"1462",0.008756
"1463",0.00876
"1464",0.008768
"1465",0.008774
"1466",0.008786
"1467",0.008787
"1468",0.008789
"1469",0.008792
"1470",0.008795
"1471",0.008801
"1472",0.008806
"1473",0.008807
"1474",0.008808
"1475",0.008811
"1476",0.008818
"1477",0.00882
"1478",0.008821
"1479",0.008822
"1480",0.008822
"1481",0.008824
"1482",0.008826
"1483",0.008836
"1484",0.008845
"1485",0.008845
"1486",0.008849
"1487",0.00885
"1488",0.008858
"1489",0.008859
"1490",0.00886
"1491",0.008867
"1492",0.008867
"1493",0.008867
"1494",0.008878
"1495",0.008899
"1496",0.008904
"1497",0.008908
"1498",0.008914
"1499",0.008919
"1500",0.008932
"1501",0.008935
"1502",0.008946
"1503",0.008965
"1504",0.008972
"1505",0.008976
"1506",0.008984
"1507",0.008994
"1508",0.008999
"1509",0.009
"1510",0.009001
"1511",0.009003
"1512",0.009014
"1513",0.009022
"1514",0.009024
"1515",0.009031
"1516",0.009044
"1517",0.009064
"1518",0.009065
"1519",0.009071
"1520",0.009078
"1521",0.009078
"1522",0.009085
"1523",0.009086
"1524",0.009094
"1525",0.009097
"1526",0.009099
"1527",0.009099
"1528",0.00911
"1529",0.009113
"1530",0.009119
"1531",0.009123
"1532",0.009124
"1533",0.009133
"1534",0.009136
"1535",0.009169
"1536",0.009176
"1537",0.009178
"1538",0.009182
"1539",0.009186
"1540",0.009189
"1541",0.009192
"1542",0.009198
"1543",0.009202
"1544",0.009211
"1545",0.009216
"1546",0.009217
"1547",0.009217
"1548",0.009225
"1549",0.009239
"1550",0.009244
"1551",0.009245
"1552",0.009247
"1553",0.009266
"1554",0.009299
"1555",0.009299
"1556",0.009302
"1557",0.009304
"1558",0.009306
"1559",0.009311
"1560",0.00932
"1561",0.009323
"1562",0.009324
"1563",0.009326
"1564",0.009335
"1565",0.009364
"1566",0.009365
"1567",0.009377
"1568",0.009386
"1569",0.009387
"1570",0.009391
"1571",0.009398
"1572",0.0094
"1573",0.009418
"1574",0.009418
"1575",0.009418
"1576",0.009422
"1577",0.009429
"1578",0.009433
"1579",0.009437
"1580",0.009438
"1581",0.009438
"1582",0.009444
"1583",0.009459
"1584",0.009459
"1585",0.009464
"1586",0.00947
"1587",0.009471
"1588",0.009473
"1589",0.009474
"1590",0.009477
"1591",0.009485
"1592",0.009485
"1593",0.009486
"1594",0.009486
"1595",0.009497
"1596",0.009508
"1597",0.009514
"1598",0.009515
"1599",0.009519
"1600",0.00952
"1601",0.009534
"1602",0.009538
"1603",0.009546
"1604",0.009552
"1605",0.009563
"1606",0.009567
"1607",0.009582
"1608",0.009585
"1609",0.009586
"1610",0.009588
"1611",0.009588
"1612",0.009591
"1613",0.009615
"1614",0.009617
"1615",0.00962
"1616",0.00962
"1617",0.009629
"1618",0.009644
"1619",0.009649
"1620",0.009656
"1621",0.009657
"1622",0.009668
"1623",0.009689
"1624",0.009694
"1625",0.009699
"1626",0.0097
"1627",0.009716
"1628",0.009716
"1629",0.009719
"1630",0.00972
"1631",0.00972
"1632",0.009724
"1633",0.009725
"1634",0.009726
"1635",0.009744
"1636",0.009758
"1637",0.009763
"1638",0.009776
"1639",0.009776
"1640",0.009793
"1641",0.009798
"1642",0.0098
"1643",0.009804
"1644",0.009818
"1645",0.009818
"1646",0.009819
"1647",0.009821
"1648",0.009826
"1649",0.009831
"1650",0.009834
"1651",0.009837
"1652",0.00984
"1653",0.009845
"1654",0.009848
"1655",0.009853
"1656",0.009855
"1657",0.009862
"1658",0.009864
"1659",0.009865
"1660",0.009887
"1661",0.009888
"1662",0.009896
"1663",0.009896
"1664",0.009898
"1665",0.009901
