"","x"
"1",6.9e-05
"2",0.000384
"3",0.000393
"4",0.000401
"5",0.000403
"6",0.000433
"7",0.000457
"8",0.000465
"9",0.000472
"10",0.000533
"11",0.000571
"12",0.000573
"13",0.000599
"14",0.000678
"15",0.000687
"16",0.000695
"17",0.000704
"18",0.000718
"19",0.000737
"20",0.000756
"21",0.000776
"22",0.000886
"23",0.000891
"24",0.000928
"25",0.000935
"26",0.000941
"27",0.000946
"28",0.000958
"29",0.000959
"30",0.000972
"31",0.00099
"32",0.000994
"33",0.000999
"34",0.001002
"35",0.001003
"36",0.001005
"37",0.001018
"38",0.001022
"39",0.001064
"40",0.001076
"41",0.00108
"42",0.001104
"43",0.001108
"44",0.001114
"45",0.001117
"46",0.001118
"47",0.001147
"48",0.001153
"49",0.001161
"50",0.001167
"51",0.001206
"52",0.001212
"53",0.001212
"54",0.001239
"55",0.00124
"56",0.001267
"57",0.00127
"58",0.001277
"59",0.001283
"60",0.001288
"61",0.00129
"62",0.00129
"63",0.001294
"64",0.001298
"65",0.001308
"66",0.00131
"67",0.001328
"68",0.001341
"69",0.001342
"70",0.001367
"71",0.00138
"72",0.001383
"73",0.001385
"74",0.001397
"75",0.001401
"76",0.001413
"77",0.001419
"78",0.001441
"79",0.001441
"80",0.001444
"81",0.001447
"82",0.001469
"83",0.001493
"84",0.001497
"85",0.001502
"86",0.001513
"87",0.001515
"88",0.001537
"89",0.001537
"90",0.001539
"91",0.00154
"92",0.001546
"93",0.001548
"94",0.001574
"95",0.001578
"96",0.001587
"97",0.001603
"98",0.001609
"99",0.001615
"100",0.001618
"101",0.001624
"102",0.001628
"103",0.001644
"104",0.001655
"105",0.001668
"106",0.001669
"107",0.001705
"108",0.001706
"109",0.001725
"110",0.001734
"111",0.001738
"112",0.001742
"113",0.001745
"114",0.001748
"115",0.00175
"116",0.00176
"117",0.001763
"118",0.001775
"119",0.00179
"120",0.001797
"121",0.001819
"122",0.001825
"123",0.00183
"124",0.001834
"125",0.00185
"126",0.001852
"127",0.001852
"128",0.001854
"129",0.001857
"130",0.001874
"131",0.00189
"132",0.001894
"133",0.001896
"134",0.001903
"135",0.001906
"136",0.001913
"137",0.001918
"138",0.00192
"139",0.001933
"140",0.001953
"141",0.001956
"142",0.001958
"143",0.001962
"144",0.001965
"145",0.001968
"146",0.00197
"147",0.00197
"148",0.001972
"149",0.001975
"150",0.001979
"151",0.001982
"152",0.001994
"153",0.001996
"154",0.002003
"155",0.00201
"156",0.002011
"157",0.002019
"158",0.002023
"159",0.002025
"160",0.002025
"161",0.002025
"162",0.002031
"163",0.002047
"164",0.002048
"165",0.002055
"166",0.002055
"167",0.002064
"168",0.002083
"169",0.002118
"170",0.002122
"171",0.002124
"172",0.00214
"173",0.002141
"174",0.002142
"175",0.002143
"176",0.002147
"177",0.002149
"178",0.002161
"179",0.002162
"180",0.002164
"181",0.002174
"182",0.002177
