Date,6/2/2021,
Date_std,11/14/1994,
DPM_std,265600,
DPM_curr,38069.7,
Half_life,12.346,
M_Leu,5.31E-08,
Voucher,3787344,
,,
Sample,CPM,Kill
2,105324,T
2,553226,F
2,515246,F
2,564919,F
2.5,70549.8,T
2.5,452100,F
2.5,471653,F
2.5,467920,F
3,28706,T
3,205274,F
3,179359,F
3,176889,F
3.5,31265.5,T
3.5,363282,F
3.5,324660,F
3.5,361681,F
4,18124.8,T
4,199749,F
4,196181,F
4,216356,F
4.5,14333,T
4.5,105902,F
4.5,89268.7,F
4.5,103042,F
5,7762,T
5,44564.6,F
5,55183.2,F
5,46094.5,F
5.5,12312.1,T
5.5,59654.6,F
5.5,74050.8,F
5.5,57932.4,F
6,9655.5,T
6,40012,F
6,47362.6,F
6,43951.6,F
6.5,23762.5,T
6.5,52357.2,F
6.5,55819.7,F
6.5,54181.5,F
7,9091.5,T
7,41861.6,F
7,48633.1,F
7,60308.4,F
7.5,10220.5,T
7.5,44989.1,F
7.5,46628.7,F
7.5,59183.5,F
8,14058,T
8,44850,F
8,53506.7,F
8,60761.7,F
