Tau	Set	Hours	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes	Avg
2.0	S1	0	0	0.017	0	0	0.007	0	0	0	0	0	0	0	0.02	0.017	0	0	0	0.017	0.023	0	0	0	0	0	0	0	0.03	0	0.007	0.027	0.01	10	0.00564516129032258
2.5	S1	0	0.023	0	0	0	0.003	0	0.01	0	0	0.003	0.05	0.087	0	0.003	0	0	0	0.047	0.043	0.02	0	0	0	0	0	0	0	0	0.033	0	0	11	0.0103870967741935
3.0	S1	0	0	0.147	0.02	0.077	0.007	0	0.01	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0	0.04	0	0.03	0	0	0	0	0.027	0.013	0.003	11	0.0146451612903226
3.5	S1	0	0.003	0	0.003	0.003	0	0	0.013	0	0.007	0.04	0	0.003	0.013	0.003	0	0.003	0.04	0.04	0.02	0.04	0	0.003	0.003	0.013	0	0	0	0	0	0.053	0.037	19	0.0109677419354839
4.0	S1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4.5	S1	0	0.02	0.057	0.027	0.06	0	0.003	0.057	0.003	0.05	0.01	0.04	0.037	0.05	0.063	0.087	0.02	0	0.003	0.013	0.01	0.01	0.053	0	0.02	0.123	0.1	0.003	0.02	0.04	0.09	0.097	28	0.0376129032258065
5.0	S1	0	0.033	0	0	0.013	0.013	0	0.007	0	0	0.007	0	0	0	0	0	0	0.02	0.007	0	0.093	0	0	0.01	0	0	0	0	0	0	0.073	0.073	11	0.011258064516129
5.5	S1	0	0.023	0	0.047	0.057	0	0	0	0	0.043	0	0.05	0.063	0.02	0.027	0.007	0	0	0.003	0.01	0	0	0.02	0	0.067	0	0	0.003	0	0.017	0.077	0.093	17	0.0202258064516129
6.0	S1	0	0	0.07	0.04	0.003	0	0	0	0	0	0.043	0.02	0.043	0	0.01	0	0	0	0.017	0	0.06	0	0	0	0.033	0	0	0.03	0.003	0	0.053	0.097	14	0.0168387096774194
6.5	S1	0	0.057	0	0	0	0	0	0	0	0.02	0.027	0	0	0.037	0.017	0	0.007	0.053	0	0.017	0	0	0.013	0	0.003	0	0	0	0	0.007	0.073	0.093	13	0.0136774193548387
7.0	S1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7.5	S1	0	0	0.003	0.013	0.01	0	0	0	0	0	0.057	0.003	0.037	0	0.013	0.01	0	0.017	0.003	0	0.02	0	0.007	0.003	0	0	0.01	0	0	0.003	0	0.05	16	0.00835483870967742
8.0	S1	0	0.023	0.047	0	0.01	0.033	0.01	0.003	0.003	0.01	0	0	0.117	0.063	0.023	0.017	0	0.027	0.01	0.013	0.007	0.01	0.04	0.02	0.053	0.007	0	0.007	0	0.003	0.103	0.137	25	0.0256774193548387
