Tau	Set	Hours	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes	Avg
1.5	S4	0	0	0.013	0	0	0	0	0	0	0.007	0	0	0	0.01	0	0	0	0	0.017	0	0	0.02	0.01	0	0	0	0	0.01	0	0	0	0.01	8	0.00312903225806452
1.75	S4	0	0	0.003	0	0	0.033	0	0	0.007	0.003	0	0.017	0	0	0.04	0	0	0.01	0.013	0.003	0	0	0.007	0	0	0.037	0.003	0	0	0.013	0.057	0.053	15	0.00964516129032258
2.375	S4	0	0	0	0.013	0.003	0.017	0.007	0.003	0	0.023	0	0	0.003	0	0	0.027	0	0	0.013	0.023	0.01	0	0.02	0.007	0.007	0.01	0	0.013	0.007	0	0.033	0.077	19	0.0101935483870968
3.375	S4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.000225806451612903
3.625	S4	0	0	0.003	0.007	0	0.003	0	0	0	0.007	0	0.007	0	0.023	0.003	0	0	0.007	0	0	0	0	0.007	0	0	0	0.017	0	0	0	0.023	0.023	12	0.00419354838709677
5.875	S4	0	0.02	0.073	0.06	0	0.023	0	0	0	0	0	0	0.047	0.017	0	0.007	0	0.013	0.01	0	0.033	0	0.003	0.013	0	0	0.017	0.003	0	0.027	0.067	0.107	17	0.0174193548387097
6.125	S4	0	0.083	0.07	0.063	0.02	0.117	0	0	0	0.03	0.04	0.02	0.067	0.133	0.07	0.087	0	0.01	0.033	0.05	0.07	0.02	0.063	0.05	0.05	0.02	0.003	0.01	0.01	0.12	0.11	0.183	27	0.0516774193548387
6.375	S4	0	0	0	0	0	0	0	0	0	0	0	0	0.007	0	0.023	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0.027	0	0.04	0.047	6	0.00561290322580645
6.625	S4	0	0.03	0	0	0.007	0.033	0	0	0.023	0.007	0.013	0	0.01	0	0	0	0.007	0.04	0.01	0	0.06	0	0.02	0.02	0	0	0	0	0	0.013	0.053	0.043	16	0.0125483870967742
6.875	S4	0	0.07	0.117	0.01	0.01	0.017	0	0.05	0	0.07	0.03	0.02	0.073	0.05	0.013	0	0.053	0.017	0.06	0.063	0.06	0	0.057	0.04	0.073	0	0	0.02	0	0.083	0.117	0.11	24	0.0413870967741935
7.125	S4	0	0.007	0	0.023	0	0.06	0	0	0	0	0	0.013	0.007	0.01	0	0	0.01	0.033	0	0.007	0.037	0	0.003	0.01	0.007	0	0.013	0.057	0	0	0.077	0.037	17	0.013258064516129
7.375	S4	0	0.19	0.16	0.12	0.05	0.13	0	0.007	0.007	0.037	0.027	0.01	0.193	0.103	0.047	0.13	0.097	0.04	0.117	0.11	0.137	0.01	0.02	0.15	0.197	0.077	0.153	0.05	0.003	0.08	0.147	0.143	30	0.0884516129032258
7.625	S4	0	0.033	0.003	0.037	0	0.08	0	0.027	0	0	0.007	0	0.033	0	0.013	0.023	0	0.033	0	0.02	0.043	0	0	0.02	0	0.027	0.023	0.057	0.077	0	0.063	0.087	19	0.0227741935483871
7.875	S4	0	0.057	0.03	0.107	0.037	0.15	0	0.053	0	0.067	0.053	0.027	0.037	0.023	0.013	0.077	0.037	0.053	0.013	0.013	0.017	0	0.053	0.013	0.05	0.043	0.067	0.027	0.037	0.053	0.097	0.13	28	0.046258064516129
