Tau	Set	Hours	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes	Avg
2.0	S1	48	0.687	1.447	0.313	0	0.123	1.427	1.267	1.043	1.443	0.073	1.253	1.167	0.47	0.583	1.737	1.037	1.75	0.313	0.093	0.5	1.497	1.993	0.177	1.577	0.057	1.603	1.19	1.457	1.077	0.9	0.767	30	0.936161290322581
2.5	S1	48	0.083	1.277	0.277	0	0.027	1.397	1.343	1.197	1.053	0.043	1.403	1.487	0.417	0.47	1.823	0.597	1.653	0.21	0.067	0.713	1.493	1.96	0.013	1.633	0.183	1.733	1.17	1.127	1.147	0.803	0.777	30	0.889548387096774
3.0	S1	48	0.853	1.307	0.203	0.11	0.02	1.07	1.42	0.78	0.923	0.06	1.173	1.313	0.11	0.08	1.323	0.217	1.497	0.027	0	0.667	1.15	1.607	0	1.43	0.087	1.337	0.86	1.113	0.833	0.537	0.427	29	0.726903225806452
3.5	S1	48	0.073	0.773	0.007	0.007	0	0.163	0.013	0.43	0.333	0.063	0.003	0.277	0.253	0.143	0.787	0	0.067	0.043	0.013	0.073	0.66	1.377	0	0.92	0.027	0.29	0.09	0.467	0.887	0.983	1.277	28	0.338677419354839
4.0	S1	48	0.087	1.03	0.003	0	0	1.323	1.197	1.087	0.827	0	1.217	1.037	0.327	0.36	1.073	0	1.387	0	0	0.293	0.837	2.113	0.02	1.59	0.11	1.247	0.597	1.107	1.077	0.8	0.993	25	0.701258064516129
4.5	S1	48	0.55	1.36	0.103	0.093	0.007	1.353	1.063	1.117	1.247	0.133	1.29	1.28	0.437	0.347	1.467	0.033	1.277	0.017	0.017	0.763	1.1	2.12	0.043	1.597	0.35	1.533	1.01	1.05	1.293	0.743	0.967	31	0.830967741935484
5.0	S1	48	0.263	0.85	0.48	0.01	0.073	0.957	1.19	0.58	0.653	0.143	0.683	0.98	0.143	0.187	1.15	0.02	1.303	0.073	0.037	0.763	0.797	1.287	0.39	1.07	0.373	1.207	0.62	0.717	0.603	0.373	0.49	31	0.595645161290323
5.5	S1	48	0.287	0.853	0.123	0.057	0.013	1.233	1.133	0.773	0.873	0.01	0.76	1.253	0.16	0.193	1.007	0	1.54	0.02	0	0.567	0.947	1.573	0.01	1.257	0.237	1.26	0.717	0.813	0.813	0.45	0.593	29	0.629838709677419
6.0	S1	48	0.383	0.707	0.483	0	0.037	1.023	1.047	0.57	0.747	0.113	0.75	1.07	0.137	0.207	0.897	0.03	1.227	0.127	0.037	0.66	0.7	1.423	0.063	1	0.343	1.2	0.777	0.783	0.74	0.353	0.47	30	0.584
6.5	S1	48	0.163	0.79	0.047	0.01	0	0.983	0.913	0.293	0.66	0.143	0.683	0.893	0.283	0.1	0.95	0.007	1.29	0	0.007	0.527	0.687	1.233	0.043	1.037	0.24	1.22	0.62	0.753	0.677	0.413	0.617	29	0.525225806451613
7.0	S1	48	0	0.397	0.293	0	0	0.657	0.75	0.243	0.287	0	0.42	0.68	0	0	0.717	0	0.997	0	0	0.29	0.343	0.787	0	0.697	0.077	0.737	0.39	0.37	0.183	0.067	0.16	21	0.307806451612903
7.5	S1	48	0.193	0.67	0.25	0	0	0.943	0.927	0.467	0.68	0.11	0.82	1.037	0.17	0.297	1.167	0.03	1.07	0	0	0.263	0.677	1.25	0.013	1.057	0.213	1.04	0.597	0.827	0.497	0.37	0.527	27	0.521354838709677
8.0	S1	48	0.36	0.787	0.237	0.053	0.013	0.877	0.933	0.387	0.52	0.01	0.67	1.02	0.073	0.123	1.133	0	1.28	0	0	0.393	0.48	1.22	0	0.927	0.097	0.91	0.61	0.527	0.547	0.4	0.497	27	0.48658064516129
2.25	S2	48	0.033	1.25	0.053	0.133	0	1.213	0.983	0.97	1.367	0.157	1.1	1.203	0.373	0.2	1.653	0.553	1.11	0.053	0	0.697	1.1	2.2	0.07	1.54	0.237	1.593	1.243	1.167	1.047	0.723	0.763	29	0.799483870967742
2.75	S2	48	0.18	1.493	0.113	0.163	0.017	1.363	0.723	1.263	1.543	0.193	1.483	1.477	0.263	0.403	2.22	0.54	1.627	0.15	0.017	0.86	1.337	2.467	0.153	1.87	0.357	1.887	1.307	1.513	1.393	0.95	0.857	31	0.973612903225807
3.75	S2	48	0.07	1.207	0.01	0.04	0	1.253	0.503	1.29	1.347	0.1	1.21	1.287	0.21	0.263	1.86	0	1.563	0	0	0.547	1.37	2.33	0.033	1.77	0.25	1.513	0.88	1.33	1.227	0.793	0.923	27	0.812225806451613
4.25	S2	48	0.18	1.08	0.087	0.103	0	1.253	1.127	1.037	1.217	0.04	1.417	1.147	0.22	0.41	1.6	0	1.567	0	0	0.46	1.24	1.957	0.103	1.667	0.36	1.38	1.04	1.247	1.137	0.703	0.873	27	0.795225806451613
4.75	S2	48	0.007	0.96	0.013	0	0.01	1.03	1.06	0.753	0.83	0.103	1.333	1.067	0.267	0.203	1.397	0	1.393	0	0	0.403	1.133	2.067	0.047	1.437	0.237	1.2	0.863	0.997	0.85	0.573	0.7	27	0.675258064516129
5.25	S2	48	0.003	1.393	0	0	0.07	1.123	1.313	0.823	1.307	0.123	1.307	1.217	0.27	0.203	1.907	0	1.243	0	0	0.447	1.67	2.063	0.087	1.653	0.293	1.403	1.213	1.247	1.05	0.617	0.75	26	0.799838709677419
5.75	S2	48	0.38	0.893	0.113	0.05	0	1.183	1.287	0.897	1.027	0.017	0.92	1.193	0.32	0.18	1.12	0.04	1.42	0.013	0.007	0.6	1.217	1.603	0.057	1.34	0.393	1.117	1.03	0.98	0.683	0.6	0.76	30	0.691612903225806
6.25	S2	48	0.323	0.817	0	0.147	0.01	1.067	0.937	0.847	1.053	0.137	1.227	1.173	0.38	0.2	1.413	0	1.403	0.003	0	0.553	1.027	1.777	0.067	1.393	0.39	1.173	0.763	0.843	0.91	0.553	0.643	28	0.684806451612903
6.75	S2	48	0.01	0.91	0.357	0	0.007	0.887	0.887	0.733	0.803	0.01	0.747	0.873	0.093	0.057	0.917	0.023	1.147	0	0	0.44	0.8	1.37	0	0.993	0.167	1	0.753	0.67	0.617	0.333	0.45	27	0.517870967741936
7.25	S2	48	0.357	0.713	0	0	0	1.02	0.993	0.727	0.937	0	0.86	1.053	0.07	0.007	1.297	0	1.347	0	0	0.667	1.033	1.587	0	1.14	0.273	1.117	0.817	0.837	0.747	0.413	0.583	23	0.599838709677419
7.75	S2	48	0.083	1.193	0.097	0	0	1.173	1.207	0.977	0.973	0.01	1.17	1.023	0.21	0.237	1.387	0	1.447	0.01	0.04	0.59	1.057	1.827	0.423	1.443	0.48	1.383	0.803	1.043	0.95	0.607	0.747	28	0.728709677419355
8.25	S2	48	0.073	0.897	0.133	0.05	0.07	1.243	1.127	0.693	0.9	0.123	0.947	1.087	0.227	0.227	1.067	0.017	1.313	0	0.077	0.593	0.95	1.673	0.027	1.243	0.793	1.16	0.967	0.917	0.93	0.56	0.66	30	0.669161290322581
2.875	S3	48	0.09	1.177	0	0.03	0	0.41	0.053	1.097	0.757	0.103	1.58	1.027	0.193	0.19	1.433	0.033	0	0.017	0	0.433	0.91	1.527	0.017	1.063	0.1	1.193	0.603	1.13	1.217	0.827	0.92	27	0.584838709677419
3.250	S3	48	0.127	0.737	0.023	0	0	0.767	0.29	1	0.853	0.157	0.793	1.02	0.28	0.11	0.863	0.003	1.3	0.043	0.02	0.43	1.14	1.82	0.09	1.16	0	0.877	0.55	0.86	1.207	0.913	0.873	28	0.590516129032258
3.875	S3	48	0	0.877	0.007	0.013	0.003	0.003	0.127	1.18	0.817	0.207	0.927	0.62	0.19	0.23	0.65	0	0.703	0.043	0.013	0.597	1.243	1.773	0.133	0.977	0.02	0.347	0.35	0.723	0.98	0.98	0.853	29	0.502774193548387
4.125	S3	48	0.057	1.16	0.313	0.007	0	0.847	0.257	1.05	1.067	0.24	1.34	1.05	0.27	0.167	1.017	0	1.71	0.01	0.02	0.51	1	2.087	0.007	1.423	0.183	1.19	0.543	1.407	0.933	0.81	0.887	29	0.695548387096774
4.375	S3	48	0.163	0.93	0.017	0.02	0	1.163	0.8	0.787	0.74	0.11	0.87	1.073	0.287	0.217	1.443	0	1.487	0	0.013	0.357	1.007	1.777	0	1.35	0.23	1.41	0.463	0.9	0.813	0.523	0.777	27	0.636354838709677
4.625	S3	48	0.013	1.063	0.063	0.057	0.077	1.133	0.957	0.79	0.807	0.08	1.413	1.05	0.137	0.393	1.193	0.023	1.507	0.067	0.02	0.417	1.073	1.63	0.073	1.403	0.297	1.403	0.59	0.967	0.853	0.477	0.693	31	0.668354838709677
4.875	S3	48	0.073	1.147	0.057	0.04	0.11	1.063	0.477	0.747	0.9	0.053	1.07	1.127	0.21	0.27	1.61	0.017	1.663	0.03	0.063	0.47	1.13	1.85	0.007	1.353	0.303	1.177	0.75	1.037	0.95	0.503	0.627	31	0.673677419354839
5.125	S3	48	0.05	0.907	0.023	0	0	0.967	0.837	0.723	0.81	0.033	0.943	0.907	0.19	0.293	1.357	0.017	1.41	0	0.033	0.517	0.67	1.457	0.003	1.31	0.27	1.4	0.647	0.91	0.69	0.457	0.543	28	0.592709677419355
5.375	S3	48	0.217	0.937	0	0.007	0.003	0.977	1	0.643	0.787	0.087	1.037	0.977	0.127	0.177	1.24	0.027	1.37	0.027	0.033	0.56	0.833	1.423	0.01	1.267	0.307	1.12	0.79	0.857	0.737	0.423	0.513	30	0.597193548387097
5.625	S3	48	0	0.697	0.143	0	0	0.913	0.523	0.723	0.82	0	0.84	0.903	0.117	0.217	1.08	0	1.173	0	0	0.707	0.773	1.503	0.007	1.137	0.297	1.17	0.663	0.647	0.613	0.357	0.463	24	0.531806451612903
1.5	S4	48	0.193	1.167	0.083	0	0.003	0.36	0.047	0.833	0.6	0.323	0	0.917	0.44	0.033	1.44	0.017	0.103	0.063	0	0.297	0.807	1.863	0	1.127	0.003	0.313	0.437	0.973	0.677	0.737	1.207	27	0.485903225806452
1.75	S4	48	0	1.01	0.047	0.007	0.08	0	0.103	0.607	0.727	0.377	0.16	0.957	0.423	0.117	1.467	0.01	0.5	0.033	0.01	0.16	0.94	2.033	0.01	1.233	0.06	0.473	0.16	1.06	0.713	0.833	1.243	29	0.501709677419355
