Tau	Set	Hours	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes	Avg
1.5	S4	24	0	0.083	0	0	0	0.007	0	0.05	0.023	0	0	0.077	0.04	0.007	0.223	0.003	0	0.047	0	0	0.043	0.477	0	0.263	0.013	0.053	0	0.137	0.03	0.31	0.443	19	0.0751290322580645
1.75	S4	24	0	0.037	0	0	0.033	0	0	0.023	0.003	0	0.027	0.027	0	0.067	0.23	0	0.037	0.017	0.007	0	0.037	0.45	0	0.143	0.04	0.073	0	0.117	0.073	0.327	0.453	20	0.0716451612903226
2.375	S4	24	0	0.05	0.017	0.007	0.02	0.01	0.01	0	0.023	0.01	0.003	0.067	0.013	0.013	0.227	0	0.18	0.02	0.033	0.017	0.017	0.32	0.02	0.107	0.01	0.043	0.01	0.073	0.037	0.163	0.413	28	0.0623548387096774
3.375	S4	24	0	0.087	0	0	0	0	0.003	0.01	0.003	0.013	0.003	0.093	0.013	0.013	0.2	0	0.01	0	0	0	0.033	0.257	0	0.097	0	0.03	0	0.077	0.013	0.01	0.36	19	0.042741935483871
3.625	S4	24	0	0.073	0.003	0	0	0	0.007	0.03	0.013	0.027	0.017	0.097	0.02	0.023	0.177	0	0.01	0.007	0	0	0.03	0.27	0.01	0.117	0	0.127	0.003	0.087	0.02	0.027	0.343	23	0.0496129032258064
5.875	S4	24	0	0.077	0.017	0.003	0.01	0.017	0	0	0	0	0.023	0.083	0.003	0.007	0.023	0	0.17	0.013	0	0.033	0.027	0.093	0.013	0	0.007	0.077	0	0.01	0.017	0.147	0.187	22	0.0340967741935484
6.125	S4	24	0.07	0.113	0.103	0.033	0.057	0.09	0	0.02	0.07	0.027	0.09	0.18	0.143	0.11	0.197	0	0.32	0.047	0.023	0.027	0.043	0.227	0	0.107	0.04	0.003	0	0.027	0.193	0.227	0.293	27	0.0929032258064516
6.375	S4	24	0	0.043	0.01	0	0.013	0.007	0.013	0.003	0	0	0.02	0.1	0	0	0	0	0.237	0	0	0.023	0	0.007	0	0.017	0.013	0	0	0.02	0.03	0.11	0.107	17	0.0249354838709677
6.625	S4	24	0.037	0.043	0.023	0.023	0.12	0.057	0.033	0.043	0.027	0.053	0.033	0.14	0	0.017	0.063	0.073	0.233	0.05	0.04	0.11	0.07	0.177	0.047	0.047	0.01	0.107	0.02	0.027	0.103	0.2	0.207	30	0.0720322580645161
6.875	S4	24	0.043	0.137	0.023	0.003	0.02	0.067	0.09	0.007	0.093	0.063	0.017	0.157	0.043	0.07	0.093	0.087	0.237	0.093	0.077	0.11	0.04	0.15	0.03	0.133	0.017	0.15	0.047	0.007	0.113	0.243	0.217	31	0.0863548387096774
7.125	S4	24	0	0	0	0	0.013	0	0	0	0	0	0	0	0	0	0.037	0	0.067	0	0	0	0	0	0	0	0	0.043	0	0	0	0.13	0.067	6	0.0115161290322581
7.375	S4	24	0.223	0.33	0.233	0.06	0.24	0.117	0.09	0.123	0.147	0.117	0.15	0.337	0.143	0.097	0.317	0.203	0.36	0.133	0.107	0.223	0.15	0.303	0.197	0.237	0.127	0.39	0.137	0.133	0.297	0.41	0.387	31	0.210258064516129
7.625	S4	24	0.02	0.023	0.037	0	0.053	0.027	0.05	0	0	0.01	0	0.107	0	0	0.053	0.01	0.117	0	0.02	0.013	0	0.05	0	0.037	0	0.113	0.047	0.013	0.023	0.177	0.163	21	0.0375161290322581
7.875	S4	24	0.05	0.05	0.097	0.01	0.16	0.047	0	0.003	0.073	0.03	0.053	0.13	0	0	0.13	0.027	0.273	0.01	0.027	0.027	0.013	0.16	0.03	0.103	0.01	0.073	0.003	0.03	0.133	0.197	0.217	28	0.0698709677419355
