Tau	Set	Hours	2-Hydroxy.Benzoic.Acid	4-Hydroxy.Benzoic.Acid	alpha-Cyclodextrin	alpha-D-Lactose	alpha-Ketobutyric.Acid	beta-Methyl-D-Glucoside	D-Cellulobiose	D-Galactonic.Acid.gamma-Lactone	D-Galacturonic.Acid	D-Glucosaminic.Acid	D-Malic.Acid	D-Mannitol	D-Xylose	D,L-alpha-Glycerol.Phosphate	gamma-Hydroxybutyric.Acid	Glucose-1-Phosphate	Glycogen	Glycyl-L-Glutamic.Acid	i-Erythritol	Itaconic.Acid	L-Arginine	L-Asparagine	L-Phenylalanine	L-Serine	L-Threonine	N-Acetyl-D-Glucosamine	Phenylethylamine	Putrescine	Pyruvic.Acid.Methyl.Ester	Tween.40	Tween.80	NumRes	Avg
2.0	S1	72	1.517	2.177	1.097	0.173	0.163	1.67	2	1.497	1.86	0.36	2.073	1.727	1.137	0.567	2.577	1.257	1.993	0.487	0.137	1.18	2.233	2.397	0.61	2.023	0.117	1.863	2.15	1.983	1.423	1.123	1.403	31	1.38625806451613
2.5	S1	72	1.033	1.78	1.26	0.393	0.03	1.517	2.073	1.393	1.653	0.75	1.903	2.173	1.753	0.363	2.393	0.967	1.987	0.387	0.13	1.64	1.98	2.243	0.203	1.917	0.787	1.973	1.92	1.387	1.35	0.98	1.19	31	1.33896774193548
3.0	S1	72	1.473	1.83	1.353	0.96	0.053	1.27	1.897	1.037	1.263	0.88	1.237	1.833	1.313	0.07	1.903	0.84	1.757	0.29	0.017	1.413	1.647	1.947	0.963	1.717	0.883	1.62	1.383	1.203	1.247	0.803	0.813	31	1.1908064516129
3.5	S1	72	0.547	1.933	0.097	0.027	0.057	0.477	0.387	1.403	1.267	0.953	0.04	1.267	0.613	0.173	2.227	0.31	0.45	0.093	0.083	0.313	1.773	2.687	0.217	1.81	0.083	0.937	0.413	1.543	1.61	1.68	2.053	31	0.887838709677419
4.0	S1	72	1.053	2.063	0.223	0.037	0.123	1.633	2.363	1.42	1.72	0.557	2.14	1.89	1.403	0.357	2.343	0.563	2.103	0.047	0.143	1.06	2.1	2.413	0.66	2.31	0.917	2.073	2.077	1.747	1.667	1.24	1.623	31	1.35703225806452
4.5	S1	72	1.567	1.94	0.803	0.393	0.113	1.603	2.09	1.483	1.647	0.79	1.887	2.11	1.533	0.347	2.253	0.42	1.713	0.217	0.3	1.78	1.77	2.503	0.7	2.133	1.21	1.94	1.943	1.42	1.617	1.053	1.54	31	1.38122580645161
5.0	S1	72	0.98	1.263	1.073	0.36	0.137	1.077	1.507	0.833	1.027	0.52	0.743	1.337	1.06	0.153	1.45	0.46	1.407	0.263	0.16	1.293	1.193	1.567	1.46	1.253	1.38	1.38	0.987	0.783	0.763	0.43	0.75	31	0.937064516129032
5.5	S1	72	1.243	1.25	0.943	0.497	0.06	1.387	1.6	1.003	1.237	0.58	0.877	1.657	1.16	0.137	1.5	0.51	1.677	0.123	0.027	1.36	1.327	1.803	0.467	1.517	1.633	1.497	1.22	0.947	0.963	0.597	0.933	31	1.02361290322581
6.0	S1	72	0.93	0.933	0.863	0.013	0	0.947	1.36	0.633	1	0.22	0.78	1.22	0.82	0.063	1.163	0.21	1.267	0.103	0	1.127	1.153	1.513	0.513	1.067	1.29	1.25	0.963	0.763	0.767	0.347	0.66	29	0.772193548387097
6.5	S1	72	0.953	1.227	0.667	0.323	0.03	1.153	1.517	0.65	1.007	0.453	0.867	1.403	0.947	0.127	1.377	0.33	1.503	0.043	0.047	1.103	1.323	1.64	0.417	1.327	1.203	1.35	1.057	0.973	0.85	0.537	1.023	31	0.884741935483871
7.0	S1	72	0.513	0.95	1.047	0.21	0	0.867	1.183	0.577	0.67	0.333	0.69	1.073	0.63	0.013	1.173	0.417	1.22	0.01	0	1.063	0.873	1.197	0.52	1	1.067	0.953	0.8	0.62	0.453	0.247	0.5	29	0.673193548387097
7.5	S1	72	0.577	1.35	0.73	0.343	0.03	1.157	1.69	0.813	1.027	0.633	1.03	1.483	0.99	0.293	1.667	0.783	1.407	0.197	0.083	1.023	1.317	1.7	0.563	1.383	1.367	1.33	1.193	1.113	0.737	0.657	0.89	31	0.95341935483871
8.0	S1	72	0.83	1.177	0.697	0.26	0	0.833	1.36	0.57	0.663	0.103	0.75	1.18	0.42	0.013	1.44	0.13	1.37	0	0	1.09	0.867	1.45	0.233	1.103	0.87	0.963	0.9	0.76	0.65	0.42	0.683	28	0.702741935483871
